name;value_euro;wage_euro;height_cm;weight_kgs;age;nationality;overall_rating;positions;preferred_foot;club_team
J. Roussillon;18000000.0;50000.0;175.26;79.8;26;France;81;LB,LWB,LM;Left;VfL Wolfsburg
S. Zaza;21000000.0;48000.0;185.42;83.9;27;Italy;81;ST;Left;Torino
S. Vrsaljko;15000000.0;57000.0;154.94;76.2;27;Croatia;81;RB;Right;Inter
C. Kramer;17000000.0;35000.0;190.5;76.2;28;Germany;81;CDM,CM;Right;Borussia Mönchengladbach
B. Mendy;20000000.0;105000.0;185.42;84.8;24;France;81;LB;Left;Manchester City
M. Sabitzer;22500000.0;54000.0;152.4;77.1;24;Austria;81;CAM,CM;Right;RB Leipzig
M. Nastasić;18500000.0;36000.0;187.96;83.0;25;Serbia;81;CB;Left;FC Schalke 04
A. Plea;22000000.0;40000.0;154.94;78.9;25;France;81;ST,LW;Right;Borussia Mönchengladbach
M. Ginter;18500000.0;30000.0;187.96;83.0;25;Germany;81;CB,CDM;Right;Borussia Mönchengladbach
Gerard Moreno;22000000.0;45000.0;154.94;77.1;26;Spain;81;ST;Left;Villarreal CF
A. Doucouré;19500000.0;60000.0;182.88;76.2;26;France;81;CDM,CM;Right;Watford
R. Guerreiro;22500000.0;54000.0;170.18;71.2;25;Portugal;81;LM,LB,CM;Left;Borussia Dortmund
Ricardo Pereira;18500000.0;64000.0;175.26;69.9;25;Portugal;81;RB,RM;Right;Leicester City
Samu Castillejo;23000000.0;86000.0;182.88;67.1;24;Spain;81;RM,LM,CM;Left;Milan
J. Brandt;25000000.0;63000.0;185.42;83.9;22;Germany;81;LM,RM,CAM;Right;Bayer 04 Leverkusen
N. Pépé;22000000.0;35000.0;182.88;73.0;23;Ivory Coast;80;RM,RW,ST;Left;LOSC Lille
S. Bergwijn;20500000.0;18000.0;152.4;78.0;21;Netherlands;80;LW,RW;Right;PSV
A. Onana;14500000.0;14000.0;187.96;93.0;22;Cameroon;80;GK;Right;Ajax
F. Balbuena;15500000.0;80000.0;187.96;84.8;27;Paraguay;80;CB;Right;West Ham United
André Silva;21000000.0;89000.0;185.42;78.9;23;Portugal;80;ST;Right;Sevilla FC
Oyarzabal;21000000.0;29000.0;154.94;78.0;21;Spain;80;LW,LM,RW;Left;Real Sociedad
Everton Andrão;4500000.0;34000.0;152.4;74.8;35;Brazil;80;CDM,CM;Right;Fluminense
Welington Dano;10500000.0;34000.0;152.4;68.9;31;Brazil;80;LB,LM;Left;Cruzeiro
Richarlison;21000000.0;84000.0;154.94;71.2;21;Brazil;80;ST,LW,LM;Right;Everton
Odriozola;18500000.0;115000.0;175.26;66.2;23;Spain;80;RB;Right;Real Madrid
Carlos Soler;21000000.0;31000.0;154.94;76.2;22;Spain;80;RM,CM;Right;Valencia CF
H. Aouar;23500000.0;51000.0;175.26;69.9;20;France;80;CM,LM;Right;Olympique Lyonnais
T. Ndombele;22500000.0;51000.0;154.94;76.2;22;France;80;CM,CDM;Right;Olympique Lyonnais
M. Gómez;20500000.0;25000.0;185.42;83.9;22;Uruguay;80;ST;Right;RC Celta
Joaquín;6000000.0;24000.0;152.4;74.8;37;Spain;81;LM,ST,RM;Right;Real Betis
J. Mathieu;5500000.0;18000.0;187.96;83.9;35;France;81;CB;Left;Sporting CP
J. Matip;15000000.0;99000.0;193.04;89.8;27;Cameroon;80;CB;Right;Liverpool
S. Aurier;15500000.0;82000.0;175.26;76.2;26;Ivory Coast;80;RB,RWB;Right;Tottenham Hotspur
J. Guilavogui;14000000.0;49000.0;187.96;77.1;28;France;80;CDM,CM;Right;VfL Wolfsburg
A. Oxlade-Chamberlain;19500000.0;94000.0;175.26;69.9;25;England;80;CM,RM;Right;Liverpool
M. Ryan;13000000.0;43000.0;182.88;82.1;26;Australia;80;GK;Right;Brighton & Hove Albion
V. Aboubakar;17500000.0;19000.0;182.88;82.1;27;Cameroon;80;ST;Right;Cameroon
L. Muriel;17500000.0;24000.0;152.4;78.9;27;Colombia;80;ST;Right;Fiorentina
D. Vida;11500000.0;55000.0;182.88;76.2;29;Croatia;80;CB,RB;Right;Beşiktaş JK
Ibai Gómez;15000000.0;31000.0;152.4;72.1;29;Spain;80;RM,RW,LM;Right;Athletic Club de Bilbao
Cristian Tello;16000000.0;30000.0;152.4;64.9;27;Spain;80;LM,RM;Right;Real Betis
Ismaily;11500000.0;1000.0;152.4;82.1;29;Brazil;80;LB;Left;Shakhtar Donetsk
A. Mandi;15500000.0;27000.0;182.88;78.0;27;Algeria;80;CB;Right;Real Betis
C. Tătăruşanu;8500000.0;25000.0;195.58;86.2;33;Romania;80;GK;Right;FC Nantes
J. Murillo;16000000.0;38000.0;182.88;78.0;26;Colombia;80;CB;Right;FC Barcelona
E. Dier;16500000.0;73000.0;187.96;89.8;25;England;80;CDM,CB,CM;Right;Tottenham Hotspur
J. Butland;14000000.0;39000.0;195.58;94.8;25;England;80;GK;Right;Stoke City
S. Sorrentino;1000000.0;10000.0;185.42;84.8;39;Italy;80;GK;Right;Chievo Verona
W. Rooney;12000000.0;13000.0;175.26;83.0;33;England;80;ST;Right;DC United
Moyá;6000000.0;26000.0;187.96;83.0;34;Spain;80;GK;Right;Real Sociedad
L. López;7000000.0;23000.0;175.26;72.1;36;Argentina;80;ST;Right;Racing Club
J. Mascherano;4500000.0;20000.0;175.26;73.0;34;Argentina;80;CDM,CB;Right;Hebei China Fortune FC
Raffael;9500000.0;39000.0;175.26;68.9;33;Brazil;80;CF,ST;Right;Borussia Mönchengladbach
Diego López;2000000.0;17000.0;195.58;88.9;37;Spain;80;GK;Right;RCD Espanyol
Juanfran;5500000.0;53000.0;154.94;71.2;34;Spain;80;RB;Right;Atlético Madrid
I. Denisov;4500000.0;1000.0;175.26;69.9;34;Russia;80;CDM;Right;Lokomotiv Moscow
I. Akinfeev;8500000.0;1000.0;185.42;78.0;32;Russia;80;GK;Right;PFC CSKA Moscow
A. Gignac;12000000.0;70000.0;187.96;91.2;33;France;80;ST;Right;Tigres U.A.N.L.
A. Granqvist;;;193.04;83.9;33;Sweden;80;CB;Right;Sweden
Manuel Fernandes;11500000.0;1000.0;175.26;74.8;33;Portugal;80;LM,CAM;Right;Lokomotiv Moscow
Dante;4500000.0;37000.0;187.96;84.8;35;Brazil;80;CB;Left;OGC Nice
L. Perrin;8500000.0;37000.0;154.94;79.8;33;France;80;CB;Right;AS Saint-Étienne
Borja Valero;9000000.0;69000.0;175.26;73.0;34;Spain;80;CAM,CDM;Right;Inter
A. Januzaj;17500000.0;32000.0;185.42;76.2;24;Belgium;79;RW,RM;Left;Real Sociedad
J. Hector;10000000.0;26000.0;185.42;74.8;28;Germany;79;LB,CDM;Left;1. FC Köln
M. Dabbur;15500000.0;47000.0;182.88;76.2;26;Israel;79;ST;Right;FC Red Bull Salzburg
Óliver Torres;16500000.0;15000.0;175.26;63.0;24;Spain;79;CM;Right;FC Porto
Y. Bounou;10500000.0;26000.0;193.04;78.0;27;Morocco;79;GK;Left;Girona FC
J. Hofmann;15000000.0;32000.0;175.26;69.9;26;Germany;79;CAM,RM,LM;Right;Borussia Mönchengladbach
Otávio;17500000.0;15000.0;172.72;71.2;24;Brazil;79;RM,CAM,CM;Right;FC Porto
Jonny;13500000.0;59000.0;170.18;69.9;25;Spain;79;LWB;Right;Wolverhampton Wanderers
L. Dendoncker;14500000.0;20000.0;187.96;88.0;23;Belgium;79;CDM,CB,CM;Right;Wolverhampton Wanderers
R. Zobnin;15000000.0;1000.0;182.88;74.8;25;Russia;79;CDM,CM,LM;Right;Spartak Moscow
Ricardo Horta;17000000.0;16000.0;172.72;63.0;24;Portugal;79;LM;Right;SC Braga
Thiago Mendes;13500000.0;35000.0;152.4;79.8;26;Brazil;79;CDM,CM,RM;Right;LOSC Lille
J. Lerma;14000000.0;55000.0;152.4;69.9;24;Colombia;79;CDM,CM;Right;Bournemouth
J. Gbamin;14500000.0;26000.0;185.42;83.0;23;Ivory Coast;79;CDM,CM,CB;Right;1. FSV Mainz 05
I. Marcone;11500000.0;27000.0;182.88;83.0;28;Argentina;79;CDM;Right;Boca Juniors
D. Benedetto;13000000.0;32000.0;152.4;79.8;28;Argentina;79;ST;Right;Boca Juniors
M. Hitz;8000000.0;41000.0;193.04;88.9;31;Switzerland;79;GK;Right;Borussia Dortmund
N. Clyne;11500000.0;94000.0;175.26;67.1;27;England;79;RB;Right;Bournemouth
A. Ljajić;15000000.0;49000.0;182.88;73.9;27;Serbia;79;CAM,LW;Right;Beşiktaş JK
J. Guðmundsson;13000000.0;61000.0;152.4;77.1;28;Iceland;79;RM,LM;Left;Burnley
Elkeson;13000000.0;25000.0;154.94;77.1;29;Brazil;79;ST,CAM;Right;Shanghai SIPG FC
Kike García;13000000.0;32000.0;185.42;78.9;29;Spain;79;ST;Right;SD Eibar
Escudero;10000000.0;20000.0;175.26;72.1;29;Spain;79;LB,LM;Left;Sevilla FC
Herrerín;8000000.0;21000.0;187.96;94.8;31;Spain;79;GK;Right;Athletic Club de Bilbao
Víctor Ruiz;10000000.0;35000.0;185.42;78.0;30;Spain;79;CB;Left;Villarreal CF
G. Medel;9500000.0;50000.0;170.18;64.9;31;Chile;79;CDM,CB;Right;Beşiktaş JK
Y. Belhanda;12500000.0;65000.0;152.4;74.8;29;Morocco;79;CAM,LW;Right;Galatasaray SK
Hugo Mallo;10500000.0;26000.0;175.26;72.1;27;Spain;79;RB;Right;RC Celta
Borja García;13000000.0;35000.0;175.26;72.1;28;Spain;79;LM,CM;Right;Girona FC
W. Khazri;13500000.0;41000.0;175.26;82.1;28;Tunisia;79;ST,CF,CAM,LM;Right;AS Saint-Étienne
P. Jones;12000000.0;110000.0;185.42;71.2;27;England;79;CB;Right;Manchester United
A. Finnbogason;12500000.0;35000.0;182.88;79.8;30;Iceland;79;ST;Right;FC Augsburg
Vinícius Júnior;20500000.0;70000.0;175.26;73.0;18;Brazil;78;LW,RW;Right;Real Madrid
Junior Firpo;12500000.0;17000.0;182.88;74.8;22;Spain;78;LWB,LB,CB,LM;Left;Real Betis
E. Belözoğlu;4000000.0;23000.0;170.18;72.1;38;Turkey;79;CM,CDM;Left;Medipol Başakşehir FK
Fernando Torres;6500000.0;9000.0;185.42;78.9;34;Spain;79;ST;Right;Sagan Tosu
B. Schweinsteiger;5000000.0;10000.0;182.88;78.9;34;Germany;79;CDM,CB,CM;Right;Chicago Fire
B. Yılmaz;10000000.0;59000.0;187.96;77.1;33;Turkey;79;ST;Right;Beşiktaş JK
M. Gómez;10000000.0;44000.0;187.96;88.9;33;Germany;79;ST;Right;VfB Stuttgart
A. Young;7000000.0;110000.0;175.26;64.9;33;England;79;RB,LB;Right;Manchester United
R. Babel;11000000.0;70000.0;185.42;84.8;32;Netherlands;79;LW;Right;Fulham
B. Costil;8000000.0;35000.0;187.96;88.0;31;France;79;GK;Right;FC Girondins de Bordeaux
S. Kalou;10000000.0;34000.0;182.88;77.1;33;Ivory Coast;79;LM,ST,RM;Right;Hertha BSC
E. Lavezzi;8000000.0;22000.0;172.72;74.8;33;Argentina;79;ST,CAM;Right;Hebei China Fortune FC
H. Ben Arfa;11000000.0;38000.0;152.4;73.9;32;France;79;CAM,ST;Left;Stade Rennais FC
B. Foster;3000000.0;29000.0;193.04;89.8;35;England;79;GK;Left;Watford
T. Heaton;7000000.0;45000.0;187.96;92.1;32;England;79;GK;Right;Burnley
Charles;6500000.0;31000.0;152.4;74.8;34;Brazil;79;ST;Right;SD Eibar
G. Cahill;7000000.0;94000.0;193.04;88.0;33;England;79;CB;Right;Chelsea
A. Iwobi;14000000.0;81000.0;185.42;74.8;22;Nigeria;78;LM,RM,LW;Right;Arsenal
R. Loftus-Cheek;14500000.0;81000.0;190.5;88.0;23;England;78;CM,LM;Right;Chelsea
A. Selikhov;9500000.0;1000.0;187.96;84.8;24;Russia;78;GK;Right;Spartak Moscow
J. Mojica;10500000.0;28000.0;185.42;73.0;26;Colombia;78;LWB,LM,LB;Left;Girona FC
W. Barrios;;;152.4;71.2;25;Colombia;78;CDM,CM;Right;Colombia
C. Izquierdoz;8000000.0;25000.0;185.42;88.9;30;Argentina;78;CB;Right;Boca Juniors
W. Benítez;9500000.0;24000.0;190.5;91.2;26;Argentina;78;GK;Right;OGC Nice
N. Maksimović;11000000.0;54000.0;193.04;87.1;27;Serbia;78;CB;Right;Napoli
A. Mitrović;14000000.0;55000.0;187.96;82.1;24;Serbia;78;ST;Right;Fulham
M. Sportiello;8500000.0;22000.0;193.04;87.1;26;Italy;78;GK;Right;Frosinone
Capa;10500000.0;23000.0;175.26;74.8;26;Spain;78;RB;Right;Athletic Club de Bilbao
Marcelo Goiano;7500000.0;15000.0;175.26;68.9;31;Brazil;78;RB,LB;Right;SC Braga
Y. Tielemans;16000000.0;47000.0;175.26;72.1;21;Belgium;78;CM,CDM;Right;Leicester City
S. Lobotka;14000000.0;22000.0;170.18;64.0;24;Slovakia;78;CM,CDM;Right;RC Celta
M. Philipp;14000000.0;48000.0;182.88;78.9;25;Germany;78;ST,CF,LM,CAM;Right;Borussia Dortmund
L. Dubois;11000000.0;47000.0;152.4;73.0;24;France;78;RB,RWB;Right;Olympique Lyonnais
L. Dunk;11000000.0;46000.0;193.04;88.0;27;England;78;CB;Right;Brighton & Hove Albion
C. Schindler;10000000.0;48000.0;187.96;77.1;28;Germany;78;CB;Right;Huddersfield Town
Y. Konoplyanka;10500000.0;35000.0;152.4;78.0;29;Ukraine;78;LM,LW,ST;Right;FC Schalke 04
Pedro Mendes;10000000.0;26000.0;185.42;78.0;28;Portugal;78;CB;Right;Montpellier HSC
R. Saponara;11000000.0;56000.0;182.88;73.0;27;Italy;78;CAM;Right;Sampdoria
L. Kurzawa;10500000.0;61000.0;182.88;76.2;26;France;78;LB,LWB;Left;Paris Saint-Germain
M. Hinteregger;10500000.0;24000.0;182.88;83.0;26;Austria;78;CB;Left;Eintracht Frankfurt
D. da Costa;10500000.0;29000.0;187.96;88.0;25;Germany;78;RWB,RB,RM;Right;Eintracht Frankfurt
Fernando;10500000.0;1000.0;175.26;79.8;27;Brazil;78;CDM,CM;Right;Spartak Moscow
W. Boly;10000000.0;62000.0;195.58;97.1;28;France;78;CB;Right;Wolverhampton Wanderers
A. Schwolow;8500000.0;20000.0;187.96;83.9;26;Germany;78;GK;Right;SC Freiburg
G. Defrel;11000000.0;64000.0;152.4;77.1;27;France;78;ST,RW;Left;Sampdoria
Álvaro;9500000.0;32000.0;182.88;74.8;29;Spain;78;CB;Right;Villarreal CF
L. Bittencourt;13000000.0;32000.0;170.18;62.1;25;Germany;78;CAM,CM,LM;Right;TSG 1899 Hoffenheim
A. Carrillo;11000000.0;14000.0;154.94;78.0;27;Peru;78;RM,RW;Right;Peru
M. Elyounoussi;14000000.0;44000.0;152.4;69.9;24;Norway;78;LM,CAM,RM;Right;Southampton
O. Karnezis;6000000.0;44000.0;190.5;81.2;33;Greece;78;GK;Right;Napoli
De Marcos;8000000.0;25000.0;182.88;79.8;29;Spain;78;RB,RW;Right;Athletic Club de Bilbao
R. Cabella;10500000.0;36000.0;170.18;71.2;29;France;78;CAM;Right;AS Saint-Étienne
J. Hart;6500000.0;41000.0;195.58;91.2;31;England;78;GK;Right;Burnley
Jurado;8000000.0;41000.0;175.26;72.1;32;Spain;78;RM,CAM,LM;Right;Al Ahli
E. Hernández;10000000.0;29000.0;170.18;64.9;30;Mexico;78;RM;Right;Cruz Azul
D. Ginczek;12000000.0;50000.0;190.5;84.8;27;Germany;78;ST;Right;VfL Wolfsburg
Lucas Pérez;10500000.0;85000.0;154.94;73.0;30;Spain;78;ST,RM;Left;West Ham United
J. Farfán;6500000.0;1000.0;152.4;83.9;34;Peru;78;RM,ST;Right;Lokomotiv Moscow
A. Begović;6500000.0;47000.0;198.12;83.0;31;Bosnia Herzegovina;78;GK;Right;Bournemouth
Hilton;;18000.0;154.94;78.0;41;Brazil;78;CB;Right;Montpellier HSC
J. Baumgartlinger;7500000.0;53000.0;182.88;86.2;31;Austria;78;CDM;Right;Bayer 04 Leverkusen
Granero;9500000.0;30000.0;154.94;78.0;31;Spain;78;CM,LM,RM;Right;RCD Espanyol
Z. Junuzović;9500000.0;39000.0;172.72;72.1;31;Austria;78;CM,CAM,LM;Right;FC Red Bull Salzburg
V. Moses;11000000.0;105000.0;152.4;77.1;28;Nigeria;78;RW,RWB;Right;Fenerbahçe SK
M. Debuchy;5500000.0;31000.0;175.26;76.2;33;France;78;RB;Right;AS Saint-Étienne
G. Maripán;10000000.0;20000.0;193.04;83.0;24;Chile;77;CB;Right;Deportivo Alavés
Iván Cuéllar;3600000.0;22000.0;187.96;76.2;34;Spain;77;GK;Left;CD Leganés
F. Johnson;8500000.0;29000.0;182.88;73.9;31;United States;77;LM,RB;Right;Borussia Mönchengladbach
Aarón Martín;10500000.0;19000.0;154.94;72.1;21;Spain;77;LB;Left;1. FSV Mainz 05
G. Pereiro;12000000.0;15000.0;187.96;76.2;23;Uruguay;77;CAM,RW;Left;PSV
B. Moukandjo;9000000.0;25000.0;154.94;73.9;30;Cameroon;77;ST,RM;Right;Jiangsu Suning FC
M. Harnik;8000000.0;31000.0;185.42;79.8;31;Austria;77;ST,RM;Right;SV Werder Bremen
J. Ward-Prowse;12000000.0;41000.0;172.72;66.2;24;England;77;RM,CM;Right;Southampton
R. Alessandrini;10000000.0;11000.0;172.72;69.9;29;France;78;RM,LM,RW,CAM;Left;LA Galaxy
Manu García;6000000.0;24000.0;182.88;73.9;32;Spain;78;CDM,CM;Left;Deportivo Alavés
M. Antonio;10500000.0;85000.0;152.4;82.1;28;England;78;ST,RM,RWB,LM;Right;West Ham United
Adrien Silva;10000000.0;68000.0;175.26;68.9;29;Portugal;78;CM,CDM;Right;AS Monaco
S. Cook;8500000.0;58000.0;185.42;82.1;27;England;78;CB;Right;Bournemouth
B. Mee;8500000.0;53000.0;182.88;82.1;29;England;78;CB;Left;Burnley
